filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	ref-year	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
HU00011	HU00011	Vachott Sándorné	Derű és ború : ELTeC kiadás	1828	1896	NA	Derű és ború	1854	1854	NA	hu	65112	NA	NA	F	medium	low	T1
HU00012	HU00012	Vachott Sándorné	Irma hagyományai : ELTeC kiadás	1828	1896	NA	Irma hagyományai	1859	1859	NA	hu	47321	NA	NA	F	short	low	T1
HU00600	HU00600	Babits Mihály	A gólyakalifa	1883	1941	viaf:49221125	A gólyakalifa	1916	1996	NA	hu	38365	NA	NA	M	short	high	T4
HU00628	HU00628	Bródy Sándor	Az ezüst kecske	1863	1924	viaf:49267921	Az ezüst kecske	1898	1969	NA	hu	47696	NA	NA	M	short	high	T3
HU00642	HU00642	Eötvös József	A falu jegyzője	1813	1871	viaf:64044769	A falu jegyzője	1845	1971	NA	hu	206761	NA	NA	M	long	high	T1
HU00662	HU00662	Gárdonyi Géza	A láthatatlan ember : Történelmi regény	1863	1922	viaf:24643507	A láthatatlan ember : Történelmi regény	1901	1967	NA	hu	76646	NA	NA	M	medium	high	T4
HU00666	HU00666	Gyulai Pál	Egy régi udvarház utolsó gazdája : Regény	1826	1909	viaf:59092543	Egy régi udvarház utolsó gazdája : Regény	1857	1995	NA	hu	22682	NA	NA	M	short	high	T1
HU00719	HU00719	Karinthy Frigyes	Tanár úr kérem	1887	1938	viaf:46762994	Tanár úr kérem	1916	NA	NA	hu	17484	NA	NA	M	short	high	T4
HU00726	HU00726	Kazinczy Ferenc	Bácsmegyeinek gyötrelmei	1759	1831	viaf:9867747	Bácsmegyeinek gyötrelmei	1878	1878	NA	hu	20772	NA	NA	M	short	low	T2
HU00730	HU00730	Kemény Zsigmond	Özvegy és leánya	1814	1875	viaf:54141095	Özvegy és leánya	1855	2000	NA	hu	88579	NA	NA	M	medium	high	T1
HU00731	HU00731	Kemény Zsigmond	Szerelem és hiúság	1814	1875	viaf:54141095	Szerelem és hiúság	1876	1995	NA	hu	22783	NA	NA	M	short	high	T2
HU00763	HU00763	Krúdy Gyula	Az útitárs	1878	1933	viaf:22810	Az útitárs	1919	1959	NA	hu	15800	NA	NA	M	short	low	T4
HU00879	HU00879	Mikes Kelemen	Törökországi levelek : Válogatás	1690	1761	viaf:7410168 	Törökországi levelek : Válogatás	1880	1995	NA	hu	11346	NA	NA	M	short	high	T3
HU00898	HU00898	Mikszáth Kálmán	A beszélő köntös	1847	1910	viaf:46774986	A beszélő köntös	1889	1998	NA	hu	23646	NA	NA	M	short	high	T3
HU00949	HU00949	Mikszáth Kálmán	"A Noszty fiú esete Tóth Marival
            "	1847	1910	viaf:46774986	A Noszty fiú esete Tóth Marival	1908	1960	NA	hu	133267	NA	NA	M	long	high	T4
HU00954	HU00954	 Mikszáth Kálmán	Szent Péter esernyője	1847	1910	viaf:46774986	Szent Péter esernyője	1895	1957	NA	hu	53010	NA	NA	M	medium	high	T3
HU00977	HU00977	Móra Ferenc	Rab ember fiai	1879	1934	viaf:73857588	Rab ember fiai	1910	1974	NA	hu	21678	NA	NA	M	short	high	T4
HU01009	HU01009	Petőfi Sándor	A hóhér kötele	1823	1849	viaf:59087691	A hóhér kötele	1846	1993	NA	hu	25762	NA	NA	M	short	high	T1
HU01115	HU01115	Vas Gereben	Egy alispán : Magyar korrajz	1823	1868	viaf:36952007	Egy alispán : Magyar korrajz	1858	1886	NA	hu	90713	NA	NA	M	medium	low	T1
HU01116	HU01116	Vas Gereben	Nagy idők, nagy emberek	1823	1868	viaf:36952007	Nagy idők, nagy emberek	1856	1886	NA	hu	109239	NA	NA	M	long	low	T1
HU02028	HU02028	Kaffka Margit	Színek és évek	1880	1918	viaf:19708135	Színek és évek	1911	1999	NA	hu	62913	NA	NA	F	medium	high	T4
HU02143	HU02143	Vas Gereben	A pörös atyafiak : Regény	1823	1868	viaf:36952007	A pörös atyafiak : Regény	1860	1891	NA	hu	70428	NA	NA	M	medium	low	T2
HU02204	HU02204	Jókai Mór	A kétszarvú ember	1825	1904	viaf:59084200	A kétszarvú ember	1852	1973	NA	hu	32893	NA	NA	M	short	high	T1
HU03130	HU03130	Eötvös József	A karthauzi	1813	1871	viaf:64044769	A karthauzi	1842	1911	NA	hu	127812	NA	NA	M	long	high	T1
HU04774	HU04774	Eötvös József	Magyarország 1514-ben : Regény	1813	1871	viaf:64044769	Magyarország 1514-ben : Regény	1847	1972	NA	hu	201018	NA	NA	M	long	high	T1
